CCCOc1ccc(C2C(C(=O)OC)=CN(CCOC)C=C2C(=O)OC)cc1,CHEMBL1339329
CCCc1cc2c(OC(=O)CC)c(-c3ccc(C(=O)OCC)o3)c(=O)oc2cc1OC,CHEMBL1378709
Cc1cc2c(c(=O)n1CCc1ccccc1)C(c1ccco1)C(C#N)=C(N)O2,CHEMBL1464508
O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccc(Cl)s1,CHEMBL1323994
COc1cccc(-c2nc(-c3ccc4c(c3)-c3ccccc3S4(=O)=O)c(-c3ccccc3)[nH]2)c1OC,CHEMBL1338756
Cc1cc(C)cc(Oc2nc3c(C)cccn3c(=O)c2/C=C(\C#N)C(=O)NC2CCS(=O)(=O)C2)c1,CHEMBL1604389
Oc1ccc(-c2cnns2)c(O)c1,CHEMBL1468099
O=C(COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2)NC1CCCC1,CHEMBL1467976
Cc1cc(O)ccc1Nc1nc2ccccc2nc1Nc1ccc(O)cc1C,CHEMBL1608118
N=c1c(S(=O)(=O)c2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,CHEMBL1479811
C/C(=N\Nc1nc(-c2cc(C)ccc2C)cs1)c1cc2c(ccc3ccccc32)oc1=O,CHEMBL3190303
CN1c2ccsc2C(O)=C(C(S)=Nc2ccc(F)c(Cl)c2)S1(=O)=O,CHEMBL1613571
Oc1ccc(/N=C/c2ccc(-c3cccs3)s2)cc1,CHEMBL504791
Cc1cccn2c(=O)c(/C=C(\C#N)C(N)=O)c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc12,CHEMBL1426072
CCOc1cc(C2C3=C(CCCC3=O)N(CCC(=O)O)C3=C2C(=O)CCC3)ccc1OS(=O)(=O)c1ccc(C)cc1,CHEMBL1299795
Cc1cccn2c(=O)c(/C=C(\C#N)C(=O)NCc3ccco3)c(N3CCC(C(N)=O)CC3)nc12,CHEMBL1349913
Cc1ccc(S(=O)(=O)Oc2ccc(C3C4=C(CCCC4=O)N(CCC(=O)O)C4=C3C(=O)CCC4)cc2Cl)cc1,CHEMBL1555914
COc1ccc2nc(N3CCCC3)c(C#N)cc2c1,CHEMBL1303198
Cc1cccn2c(=O)c(/C=C(\C#N)C(=O)NCc3ccco3)c(N3CCCC(C)C3)nc12,CHEMBL1373908
CCOC(=O)Cc1csc(-n2sc3ccccc3c2=O)n1,CHEMBL1412731
Cc1cc(=O)oc2c3c4c(cc12)OCCN4CCC3,CHEMBL1361904
Cc1ccc(CNC(=O)NCc2ccccc2)cc1,CHEMBL1303465
CN1CCc2c(sc3c2c(NCc2ccco2)nc2nnnn23)C1,CHEMBL1350226
Cc1ccc(/C=C(\C#N)C(=O)Nc2cccc3ncccc23)o1.Cl,CHEMBL1519408
COc1ccc(C(=O)/N=c2\c(C#N)cc3c(=O)n4cccc(C)c4nc3n2Cc2ccco2)cc1,CHEMBL3207893
O=C1Nc2ccccc2C12Nc1ccccc1S2,CHEMBL1359561
COc1cccc2c1NC(C(=O)O)C1CC=CC21,CHEMBL1528814
Cc1cc(C)n2nc3nc4c(cc3c2n1)CCCC4,CHEMBL1350376
Nc1c(C(=O)NCCN2CCOCC2)c2nc3ccccc3nc2n1Cc1ccco1,CHEMBL1429988
COc1ccc(N2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,CHEMBL1492213
CC(=O)Nc1ccc2cc3ccc(NC(C)=O)cc3nc2c1,CHEMBL244683
Nc1c(C(=O)NCc2ccco2)c2nc3ccccc3nc2n1CCc1ccccc1F,CHEMBL1465475
Cc1nc2ccc(S(=O)(=O)Nc3ccc(-c4nc5cccnc5s4)cc3)cc2s1,CHEMBL1372231
CCOC(=O)C1=C(Cc2ccc(Cl)cc2)C(=O)c2ccccc2C1=O,CHEMBL1370183
N#Cc1c2c(c(NCc3cccnc3)n3c1nc1ccccc13)CCC2,CHEMBL1582936
O=C(c1cccnc1)N(c1cc2sc(=O)oc2c2ccccc12)S(=O)(=O)c1ccccc1,CHEMBL1419943
CC(C)c1cc(N2CCN(C(=O)c3ccco3)CC2)n2c(nc3ccccc32)c1C#N,CHEMBL1311027
O=c1[nH]c(=O)c2nc(-c3ccc(Cl)cc3)cnc2[nH]1,CHEMBL1331901
Cc1cc(C)cc(-n2c3nc4ccccc4nc3c3c(=O)n(Cc4ccco4)cnc32)c1,CHEMBL1340587
COCCCNC(=O)c1c(NC(=O)c2ccco2)n(Cc2ccccc2)c2nc3ccccc3nc12,CHEMBL1548014
CCc1ccc(C2C3=C(O)CC(C)(C)CC3=Nc3c2c(O)nc2nc(C)nn32)cc1,CHEMBL1420108
C=CCOc1c(Br)cc(C2C3=C(CCCC3=O)N(C)C3=C2C(=O)CCC3)cc1OCC,CHEMBL1486938
CCN1CCS/C1=C\C=C\C1=[N+](CC)CCS1.[I-],CHEMBL1333600
COc1ccc(C2c3ccc(O)cc3Oc3ncn4nc(-c5ccccn5)nc4c32)cc1,CHEMBL1609317
N#Cc1c(NCCN)nc(NCc2ccccc2)c2c1CCN(Cc1ccccc1)C2,CHEMBL1453264
CC1=CC(c2ccc(Cl)cc2)n2nc(NS(=O)(=O)c3ccc(C)cc3)nc2N1,CHEMBL1340799
CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3.Cl,CHEMBL1380684
O=C(CC1Sc2ccccc2NC1=O)OCc1cc(=O)oc2cc(O)ccc12,CHEMBL1410686
CCOCCCn1c(=N)c(C(N)=S)cc2c(=O)n3cccc(C)c3nc21,CHEMBL1487114
CC(C)CNC(=O)c1c(N)n(Cc2ccco2)c2nc3ccccc3nc12,CHEMBL1505563
N#Cc1cc2c(=O)n3ccccc3nc2n(Cc2ccco2)/c1=N/C(=O)c1ccco1,CHEMBL1987092
CN(CCC#N)C(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2,CHEMBL1587502
Oc1ccc(O)c(-c2cnns2)c1,CHEMBL1327880
CCOC(=O)N1CCC(NC(=O)c2ccc3c(c2)N(C)CCS3)CC1,CHEMBL1541466
Cc1ccc(S(=O)(=O)c2c(N)n(Cc3ccco3)c3nc4ccccc4nc23)cc1,CHEMBL1549079
O=C(NCc1ccccn1)c1cc2c(ccc3ccccc32)oc1=O,CHEMBL1424123
Cc1cc2n(n1)C(c1ccc(N(C)C)cc1)Nc1ccccc1-2,CHEMBL1544951
Cn1c(=O)c(/C=N/c2ccccc2)c(O)c2ccccc21,CHEMBL3214124
Cc1cccc(S(=O)(=O)c2c(N)n(Cc3ccco3)c3nc4ccccc4nc23)c1,CHEMBL1587654
N=c1c(C(=O)NCc2ccc(F)cc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,CHEMBL1301322
CC(=O)c1ccc2cccc3c2c1NC(C)=N3,CHEMBL1567923
Cc1cc(/C=N/NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(C)n1-c1ccc(Cl)cc1,CHEMBL3209562
CCc1nnc(NC(=O)c2sc3nc4c(cc3c2N)CCCCC4)s1,CHEMBL1371568
Cc1ccc(S(=O)(=O)c2cc3c(=O)n4ccccc4nc3n(Cc3ccco3)c2=N)cc1,CHEMBL1348271
CCC1(C)Cc2c(sc3[nH]c(=O)[nH]c(=O)c23)CS1,CHEMBL1335410
Cc1ccc(-n2c(C)cc(/C=N/NC(=O)Cn3c4ccccc4c(=O)c4ccccc43)c2C)cc1,CHEMBL3196628
CC1CCCCC1NC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2,CHEMBL1450458
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.O,CHEMBL1256708
Cc1cccc(C(=O)/N=c2\c(C#N)cc3c(=O)n4cccc(C)c4nc3n2Cc2ccco2)c1,CHEMBL1998294
N#Cc1c(-c2ccncc2)c2c([nH]c1=O)-c1ccccc1OC2,CHEMBL427876
CCC(=O)Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1Cc1ccccc1,CHEMBL1428024
Oc1nc(C(Cl)Cl)nc2sc3c(c12)CCN(Cc1ccccc1)C3,CHEMBL1348645
COc1ccc(OC)c(S(=O)(=O)N(C(C)=O)c2ccc3oc(=O)sc3c2)c1,CHEMBL1596011
N=c1c(C(=O)NCc2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,CHEMBL1529346
O=C1C=CC(=O)N1N(c1ccccc1)c1ccccc1,CHEMBL1490677
N#Cc1c2c(c(NCc3ccco3)n3c1nc1ccccc13)CCC2,CHEMBL1606020
COc1cccc(-n2c(SCc3cc(=O)oc4cc(O)c(O)cc34)nc3ccccc3c2=O)c1,CHEMBL1499658
CCNc1sc(C(=O)c2cccs2)c(N)c1-c1nc2ccccc2s1,CHEMBL1577952
COC(=O)C1=C(CSc2nc3c(cc2C#N)CN(C)CC3)OC(N)=C(C#N)C1c1ccccc1F,CHEMBL1577884
Cc1ccc(Cn2c(=N)c(C(=O)NCc3ccco3)cc3c(=O)n4ccccc4nc32)cc1,CHEMBL1360981
O=C(CN1CCN(c2ccc(O)cc2)CC1)NC(c1ccccc1)c1ccccc1,CHEMBL1471909
CC(C)C(=O)N(c1cc2sc(=O)oc2c2ccccc12)S(=O)(=O)c1cccs1,CHEMBL1467316
CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(Cc2ccco2)/c1=N/C(=O)c1ccccc1,CHEMBL3192906
COCCNC(=O)c1c(NC(=O)c2ccc(Br)o2)n(Cc2ccccc2)c2nc3ccccc3nc12,CHEMBL1328822
CC(C)OCCCn1c(-c2ccco2)nc2nc3ccccc3nc21,CHEMBL1382392
COc1ccc2o/c(=N\O)c(C(=O)Nc3ccccc3OC)cc2c1,CHEMBL1864716
COc1cccc2c(O)c3cccc(N)c3nc12,CHEMBL1584969
OCCNc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12,CHEMBL1418079
Cc1cc(C=NNC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(C)n1-c1ccc(Cl)cc1,CHEMBL1483506
O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccccc1F,CHEMBL1364045
CCS(=O)(=O)Nc1ccc(-c2nc3cccnc3s2)cc1,CHEMBL1453190
O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1cccs1,CHEMBL1353698
O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1cc(F)ccc1F,CHEMBL1330155
CCc1ccc(S(=O)(=O)Nc2ccc(-c3nc4cccnc4s3)cc2)s1,CHEMBL1450979
